Date,Close,Open,High,Low,Vol.,Change %
2006-05-15,8378.2,8411.2,8411.2,8320.8,,-0.39%
2006-05-16,8387.6,8378.2,8416.2,8353.1,,0.11%
2006-05-17,8199.4,8387.6,8387.6,8174.8,,-2.24%
2006-05-18,8148.2,8199.4,8239.0,8148.0,,-0.62%
2006-05-19,8176.1,8148.1,8200.6,8093.9,,0.34%
2006-05-22,8094.8,8176.0,8176.0,8018.1,,-0.99%
2006-05-23,8095.0,8094.8,8204.3,8094.3,,0.00%
2006-05-24,8062.9,8094.6,8105.0,7974.8,,-0.40%
2006-05-25,8187.4,8063.1,8188.6,8063.1,,1.54%
2006-05-26,8241.1,8187.4,8243.7,8186.6,,0.66%
2006-05-30,8111.0,8241.1,8241.1,8110.8,,-1.58%
2006-05-31,8189.1,8111.0,8189.1,8111.0,,0.96%
2006-06-01,8270.9,8189.1,8270.9,8155.0,,1.00%
2006-06-02,8305.2,8270.9,8316.4,8260.5,,0.41%
2006-06-05,8145.5,8305.2,8305.2,8144.5,,-1.92%
2006-06-06,8100.7,8145.7,8155.5,8040.0,,-0.55%
2006-06-07,8037.1,8100.8,8141.5,8036.0,,-0.79%
2006-06-08,7992.5,8037.1,8037.1,7837.3,,-0.55%
2006-06-09,7965.3,7992.5,8038.1,7948.4,,-0.34%
2006-06-12,7855.4,7965.3,7982.4,7855.0,,-1.38%
2006-06-13,7719.8,7855.5,7858.2,7708.1,,-1.73%
2006-06-14,7780.3,7719.8,7798.3,7712.3,,0.78%
2006-06-15,7976.4,7780.3,7990.6,7780.3,,2.52%
2006-06-16,7933.9,7976.4,7976.4,7901.9,,-0.53%
2006-06-19,7850.2,7933.9,7955.6,7833.9,,-1.05%
2006-06-20,7860.4,7850.3,7914.7,7846.1,,0.13%
2006-06-21,7953.5,7860.3,7984.6,7860.3,,1.18%
2006-06-22,7920.3,7953.6,7953.6,7895.2,,-0.42%
2006-06-23,7924.6,7920.2,7965.6,7889.8,,0.05%
2006-06-26,7966.8,7924.6,7967.4,7916.3,,0.53%
2006-06-27,7886.5,7966.8,7978.4,7883.7,,-1.01%
2006-06-28,7929.7,7886.5,7931.6,7880.3,,0.55%
2006-06-29,8138.9,7929.7,8138.9,7929.7,,2.64%
2006-06-30,8169.1,8138.8,8192.3,8138.8,,0.37%
2006-07-03,8241.5,8169.1,8241.9,8169.1,,0.89%
2006-07-05,8163.9,8241.5,8241.5,8119.9,,-0.94%
