Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily Return
2024-04-23,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64,0.0014147311115488836
2024-04-24,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6,0.0015379113018598733
2024-04-25,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8,0.007496964610934409
2024-04-26,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89,-0.006663609558557937
2024-04-29,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45,0.009966569952207793
2024-04-30,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7,-0.0017024828426828176
2024-05-02,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31,0.001917730044658672
2024-05-03,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55,-0.007609876281558847
2024-05-06,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53,-0.0014749164102803025
2024-05-07,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26,-0.006247020189192987
2024-05-08,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33,0.0
2024-05-09,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88,-0.01546911781190452
2024-05-10,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71,0.0044495047250370234
2024-05-13,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08,0.0022148971671078765
2024-05-14,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66,0.005148377785971325
2024-05-15,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79,-0.000778653200017021
2024-05-16,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11,0.009157430784372478
2024-05-17,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67,0.002778540295529597
2024-05-18,22512.85,22520.25,22470.05,22502.0,19064566.0,1572.77,0.0015979631533733496
2024-05-21,22404.55,22591.1,22404.55,22529.05,347591587.0,30782.35,0.0012021153675227936
2024-05-22,22576.6,22629.5,22483.15,22597.8,290345590.0,28556.14,0.003051615580772271
2024-05-23,22614.1,22993.6,22577.45,22967.65,369767547.0,39157.65,0.016366637460283773
